Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Germany,2023-06-20,İlkay Gündoğan,FW,0.0,0,0.0,0.0,0.0,2677,10,2,6,6,39.0,18.0,21.0,2,0,44.0,0.0,29.744444444444444,0.33619723571161747,0.0672394471423235,1.3111692192753082,0.6051550242809115,0.0672394471423235,0.0,1.479267837131117,0.0
Germany,2023-06-20,Joshua Kimmich,"DF,MF",0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2023-06-20,Kai Havertz,FW,0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2023-06-20,Julian Brandt,"FW,MF",0.0,0,0.0,0.0,0.0,424,0,0,0,0,1.0,0.0,0.0,0,0,20.0,0.0,4.711111111111111,0.0,0.0,0.2122641509433962,0.0,0.0,0.0,4.245283018867925,0.0
Germany,2023-06-20,Leroy Sané,FW,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2023-06-20,Leon Goretzka,CM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2023-06-20,Emre Can,CM,0.0,0,0.0,0.0,0.0,876,1,0,0,0,4.0,2.0,12.0,1,0,24.0,0.0,9.733333333333333,0.10273972602739727,0.0,0.4109589041095891,0.20547945205479454,0.10273972602739727,0.0,2.4657534246575343,0.0
Germany,2023-06-20,Niclas Füllkrug,FW,0.0,0,0.0,0.0,0.0,936,13,1,1,1,24.0,8.0,1.0,2,0,31.0,0.0,10.4,1.25,0.09615384615384615,2.3076923076923075,0.7692307692307692,0.1923076923076923,0.0,2.980769230769231,0.0
Germany,2023-06-20,Jamal Musiala,CM,0.0,0,0.0,0.0,0.0,2321,7,7,0,0,46.0,13.0,18.0,1,0,43.0,0.0,25.788888888888888,0.2714347264110297,0.2714347264110297,1.7837139164153384,0.5040930633347696,0.03877638948728996,0.0,1.6673847479534685,0.0
Germany,2023-06-20,Robin Gosens,LB,0.0,0,0.0,0.0,0.0,999,2,3,0,0,13.0,7.0,3.0,5,0,28.0,0.0,11.1,0.1801801801801802,0.2702702702702703,1.1711711711711712,0.6306306306306306,0.45045045045045046,0.0,2.5225225225225225,0.0
Germany,2023-06-20,Antonio Rüdiger,CB,0.0,0,0.0,0.0,0.0,3825,2,2,0,0,28.0,6.0,19.0,11,0,54.0,0.0,42.5,0.047058823529411764,0.047058823529411764,0.6588235294117647,0.1411764705882353,0.25882352941176473,0.0,1.2705882352941176,0.0
Germany,2023-06-20,Malick Thiaw,CB,0.0,0,0.0,0.0,0.0,208,0,0,0,0,0.0,0.0,0.0,1,0,5.0,0.0,2.311111111111111,0.0,0.0,0.0,0.0,0.4326923076923077,0.0,2.1634615384615388,0.0
Germany,2023-06-20,Marius Wolf,RB,0.0,0,0.0,0.0,0.0,279,0,2,0,0,0.0,0.0,0.0,0,0,9.0,0.0,3.1,0.0,0.6451612903225806,0.0,0.0,0.0,0.0,2.903225806451613,0.0
Germany,2023-06-20,Benjamin Henrichs,"DF,MF",0.0,0,0.0,0.0,0.0,597,0,1,0,0,5.0,0.0,1.0,1,0,17.0,0.0,6.633333333333334,0.0,0.1507537688442211,0.7537688442211055,0.0,0.1507537688442211,0.0,2.5628140703517586,0.0
Germany,2023-06-20,Marc-André ter Stegen,GK,0.0,0,0.0,0.0,0.0,1665,0,0,0,0,0.0,0.0,0.0,0,0,28.0,22.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5135135135135136,1.1891891891891893
Germany,2021-06-29,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-06-29,Serge Gnabry,FW,0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-06-29,Thomas Müller,AM,0.0,0,0.0,0.0,0.0,1669,7,5,0,1,26.0,8.0,12.0,0,0,39.0,0.0,18.544444444444444,0.3774715398442181,0.2696225284601558,1.40203714799281,0.4313960455362493,0.0,0.0,2.103055721989215,0.0
Germany,2021-06-29,Toni Kroos,CM,0.0,0,0.0,0.0,0.0,1188,0,2,0,0,7.0,1.0,22.0,2,0,14.0,0.0,13.2,0.0,0.15151515151515152,0.5303030303030303,0.07575757575757576,0.15151515151515152,0.0,1.0606060606060606,0.0
Germany,2021-06-29,Mats Hummels,CB,0.0,0,0.0,0.0,0.0,602,0,2,0,0,5.0,0.0,7.0,0,0,11.0,0.0,6.688888888888889,0.0,0.29900332225913623,0.7475083056478405,0.0,0.0,0.0,1.6445182724252492,0.0
Germany,2021-06-29,Matthias Ginter,CB,0.0,0,0.0,0.0,0.0,1217,0,0,0,0,5.0,2.0,9.0,2,0,20.0,0.0,13.522222222222222,0.0,0.0,0.3697617091207888,0.14790468364831552,0.14790468364831552,0.0,1.4790468364831553,0.0
Germany,2021-06-29,Manuel Neuer,GK,0.0,0,50.0,0.0,0.0,2550,0,0,0,0,0.0,0.0,0.0,0,0,25.0,48.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764707,1.6941176470588235
Germany,2022-06-07,David Raum,DM,0.0,0,0.0,0.0,0.0,2109,1,6,0,0,10.0,2.0,29.0,5,0,37.0,0.0,23.433333333333334,0.04267425320056899,0.25604551920341395,0.4267425320056899,0.08534850640113797,0.21337126600284495,0.0,1.5789473684210527,0.0
Germany,2022-06-07,Jonas Hofmann,DM,0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2022-06-07,Lukas Klostermann,CB,0.0,0,0.0,0.0,0.0,703,0,0,0,0,0.0,0.0,13.0,0,0,11.0,0.0,7.811111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.4082503556187767,0.0
Germany,2022-06-07,Nico Schlotterbeck,CB,0.0,0,0.0,0.0,0.0,1533,0,3,0,0,8.0,2.0,17.0,6,0,25.0,0.0,17.033333333333335,0.0,0.1761252446183953,0.46966731898238745,0.11741682974559686,0.3522504892367906,0.0,1.4677103718199607,0.0
Germany,2022-09-26,Armel Bella Kotchap,DF,0.0,0,0.0,0.0,0.0,58,0,0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,4.655172413793103,0.0
Germany,2022-09-26,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2022-09-26,Thilo Kehrer,RB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-06-15,Kevin Volland,WB,0.0,0,0.0,0.0,0.0,69,0,0,0,0,2.0,0.0,1.0,0,0,5.0,0.0,0.7666666666666667,0.0,0.0,2.608695652173913,0.0,0.0,0.0,6.521739130434782,0.0
Germany,2023-09-12,Florian Wirtz,AM,0.0,0,0.0,0.0,0.0,2023,8,6,0,0,35.0,14.0,17.0,4,0,36.0,0.0,22.477777777777778,0.35590706870983685,0.2669303015323777,1.5570934256055364,0.6228373702422145,0.17795353435491842,0.0,1.601581809194266,0.0
Germany,2023-09-12,Pascal Groß,"DF,FW",0.0,0,0.0,0.0,0.0,882,1,0,0,0,7.0,1.0,9.0,1,0,20.0,0.0,9.8,0.1020408163265306,0.0,0.7142857142857142,0.1020408163265306,0.1020408163265306,0.0,2.0408163265306123,0.0
Germany,2023-09-12,Jonathan Tah,RB,0.0,0,0.0,0.0,0.0,2146,0,0,0,0,5.0,2.0,16.0,6,0,31.0,0.0,23.844444444444445,0.0,0.0,0.2096924510717614,0.08387698042870456,0.2516309412861137,0.0,1.3000931966449207,0.0
Germany,2024-03-23,Deniz Undav,"FW,MF",0.0,0,0.0,0.0,0.0,236,3,1,0,0,8.0,3.0,1.0,0,0,5.0,0.0,2.6222222222222222,1.1440677966101696,0.3813559322033898,3.0508474576271185,1.1440677966101696,0.0,0.0,1.9067796610169492,0.0
Germany,2024-03-23,Chris Führich,"FW,MF",0.0,0,0.0,0.0,0.0,186,0,0,0,0,2.0,1.0,3.0,0,0,5.0,0.0,2.066666666666667,0.0,0.0,0.9677419354838709,0.48387096774193544,0.0,0.0,2.419354838709677,0.0
Germany,2024-03-23,Waldemar Anton,"DF,MF",0.0,0,0.0,0.0,0.0,388,0,0,0,0,4.0,0.0,0.0,1,0,8.0,0.0,4.311111111111111,0.0,0.0,0.9278350515463918,0.0,0.23195876288659795,0.0,1.8556701030927836,0.0
Germany,2024-03-23,Robert Andrich,DM,0.0,0,0.0,0.0,0.0,1055,0,1,0,0,11.0,2.0,13.0,6,0,16.0,0.0,11.722222222222221,0.0,0.08530805687203792,0.9383886255924171,0.17061611374407584,0.5118483412322276,0.0,1.3649289099526067,0.0
Germany,2024-03-23,Maximilian Mittelstädt,LB,0.0,0,0.0,0.0,0.0,1084,1,2,0,0,14.0,3.0,13.0,2,0,16.0,0.0,12.044444444444444,0.08302583025830258,0.16605166051660517,1.1623616236162362,0.24907749077490776,0.16605166051660517,0.0,1.3284132841328413,0.0
Germany,2025-06-08,Nick Woltemade,FW,0.0,0,0.0,0.0,0.0,404,1,1,0,0,10.0,4.0,2.0,0,0,7.0,0.0,4.488888888888889,0.22277227722772278,0.22277227722772278,2.227722772277228,0.8910891089108911,0.0,0.0,1.5594059405940595,0.0
Germany,2025-06-08,Tom Bischof,MF,0.0,0,0.0,0.0,0.0,26,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0
Germany,2025-06-08,Karim Adeyemi,AM,0.0,0,0.0,0.0,0.0,340,1,1,0,0,14.0,4.0,3.0,4,0,12.0,0.0,3.7777777777777777,0.2647058823529412,0.2647058823529412,3.7058823529411766,1.0588235294117647,1.0588235294117647,0.0,3.1764705882352944,0.0
Germany,2025-06-08,Robin Koch,CB,0.0,0,0.0,0.0,0.0,462,0,0,0,0,2.0,0.0,6.0,0,0,7.0,0.0,5.133333333333334,0.0,0.0,0.3896103896103896,0.0,0.0,0.0,1.3636363636363635,0.0
Germany,2021-03-25,Amin Younes,"FW,MF",0.0,0,0.0,0.0,0.0,41,0,0,0,0,1.0,0.0,3.0,0,0,2.0,0.0,0.45555555555555555,0.0,0.0,2.1951219512195124,0.0,0.0,0.0,4.390243902439025,0.0
Germany,2021-03-25,Florian Neuhaus,MF,0.0,0,0.0,0.0,0.0,261,1,1,0,0,4.0,2.0,3.0,1,0,3.0,0.0,2.9,0.3448275862068966,0.3448275862068966,1.3793103448275863,0.6896551724137931,0.3448275862068966,0.0,1.0344827586206897,0.0
Germany,2021-06-02,Christian Günter,"DF,MF",0.0,0,0.0,0.0,0.0,233,0,0,0,0,0.0,0.0,1.0,0,0,6.0,0.0,2.588888888888889,0.0,0.0,0.0,0.0,0.0,0.0,2.317596566523605,0.0
Germany,2021-09-02,Marco Reus,"FW,MF",0.0,0,0.0,0.0,0.0,246,2,5,0,0,12.0,7.0,4.0,0,0,1.0,0.0,2.7333333333333334,0.7317073170731707,1.829268292682927,4.390243902439025,2.5609756097560976,0.0,0.0,0.36585365853658536,0.0
Germany,2021-09-02,Ridle Baku,RB,0.0,0,0.0,0.0,0.0,188,1,0,0,0,5.0,2.0,3.0,0,0,1.0,0.0,2.088888888888889,0.4787234042553191,0.0,2.3936170212765955,0.9574468085106382,0.0,0.0,0.4787234042553191,0.0
Germany,2021-09-02,Bernd Leno,GK,0.0,0,0.0,0.0,0.0,90,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2021-11-11,Maximilian Arnold,MF,0.0,0,0.0,0.0,0.0,58,0,0,0,0,2.0,2.0,2.0,1,0,1.0,0.0,0.6444444444444445,0.0,0.0,3.103448275862069,3.103448275862069,1.5517241379310345,0.0,1.5517241379310345,0.0
Germany,2021-11-11,Lukas Nmecha,FW,0.0,0,0.0,0.0,0.0,126,0,0,0,0,8.0,1.0,1.0,0,0,6.0,0.0,1.4,0.0,0.0,5.714285714285714,0.7142857142857143,0.0,0.0,4.285714285714286,0.0
Germany,2022-03-26,Julian Weigl,CM,0.0,0,0.0,0.0,0.0,62,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2022-03-26,Anton Stach,"DF,MF",0.0,0,0.0,0.0,0.0,32,0,0,0,0,1.0,0.0,0.0,0,0,2.0,0.0,0.35555555555555557,0.0,0.0,2.8125,0.0,0.0,0.0,5.625,0.0
Germany,2022-03-26,Julian Draxler,RM,0.0,0,0.0,0.0,0.0,95,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0
Germany,2022-03-26,Kevin Trapp,GK,0.0,0,0.0,0.0,0.0,315,0,0,0,0,0.0,0.0,0.0,0,0,8.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0
Germany,2022-11-16,Youssoufa Moukoko,FW,0.0,0,0.0,0.0,0.0,46,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,0.0
Germany,2022-12-01,Mario Götze,RM,0.0,0,0.0,0.0,0.0,81,0,0,0,0,1.0,1.0,1.0,0,0,4.0,0.0,0.9,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,4.444444444444445,0.0
Germany,2023-03-25,Mergim Berisha,FW,0.0,0,0.0,0.0,0.0,27,0,0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Germany,2023-03-25,Kevin Schade,"FW,MF",0.0,0,0.0,0.0,0.0,51,0,1,0,0,0.0,0.0,0.0,0,0,7.0,0.0,0.5666666666666667,0.0,1.7647058823529411,0.0,0.0,0.0,0.0,12.352941176470589,0.0
Germany,2023-03-28,Felix Nmecha,MF,0.0,0,0.0,0.0,0.0,202,1,0,0,0,2.0,1.0,4.0,1,0,6.0,0.0,2.2444444444444445,0.44554455445544555,0.0,0.8910891089108911,0.44554455445544555,0.44554455445544555,0.0,2.6732673267326734,0.0
Germany,2023-03-28,Josha Vagnoman,"DF,MF",0.0,0,0.0,0.0,0.0,11,0,0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.12222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454547,0.0
Germany,2023-11-18,Marvin Ducksch,FW,0.0,0,0.0,0.0,0.0,23,0,0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,0.0
Germany,2024-06-03,Maximilian Beier,"FW,MF",0.0,0,0.0,0.0,0.0,196,0,0,0,0,4.0,1.0,0.0,0,0,4.0,0.0,2.1777777777777776,0.0,0.0,1.8367346938775513,0.4591836734693878,0.0,0.0,1.8367346938775513,0.0
Germany,2024-06-03,Aleksandar Pavlovic,MF,0.0,0,0.0,0.0,0.0,401,1,0,0,0,4.0,1.0,3.0,0,0,4.0,0.0,4.455555555555556,0.22443890274314213,0.0,0.8977556109725685,0.22443890274314213,0.0,0.0,0.8977556109725685,0.0
Germany,2024-09-07,Angelo Stiller,MF,0.0,0,0.0,0.0,0.0,235,0,0,0,0,1.0,1.0,1.0,1,0,6.0,0.0,2.611111111111111,0.0,0.0,0.3829787234042553,0.3829787234042553,0.3829787234042553,0.0,2.2978723404255317,0.0
Germany,2024-10-11,Tim Kleindienst,FW,0.0,0,0.0,0.0,0.0,407,4,0,0,0,13.0,6.0,2.0,1,0,6.0,0.0,4.522222222222222,0.8845208845208845,0.0,2.8746928746928746,1.3267813267813269,0.22113022113022113,0.0,1.3267813267813269,0.0
Germany,2024-10-11,Jonathan Burkardt,"FW,MF",0.0,0,0.0,0.0,0.0,110,0,0,0,0,3.0,2.0,0.0,0,0,2.0,0.0,1.2222222222222223,0.0,0.0,2.454545454545454,1.6363636363636362,0.0,0.0,1.6363636363636362,0.0
Germany,2024-10-11,Alexander Nübel,GK,0.0,0,0.0,0.0,0.0,180,0,0,0,0,0.0,0.0,0.0,0,0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5
Germany,2024-10-14,Jamie Leweling,AM,0.0,0,0.0,0.0,0.0,201,1,0,0,0,4.0,1.0,2.0,0,0,2.0,0.0,2.2333333333333334,0.44776119402985076,0.0,1.791044776119403,0.44776119402985076,0.0,0.0,0.8955223880597015,0.0
Germany,2024-10-14,Oliver Baumann,GK,0.0,0,100.0,0.0,0.0,720,0,0,0,0,0.0,0.0,0.0,0,0,7.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,2.125
Germany,2025-03-20,Nadiem Amiri,AM,0.0,0,0.0,0.0,0.0,154,1,0,0,0,5.0,1.0,1.0,1,0,7.0,0.0,1.711111111111111,0.5844155844155845,0.0,2.9220779220779223,0.5844155844155845,0.5844155844155845,0.0,4.090909090909091,0.0
Germany,2025-03-23,Yann Aurel Bisseck,DF,0.0,0,0.0,0.0,0.0,14,0,0,0,0,1.0,0.0,0.0,0,0,3.0,0.0,0.15555555555555556,0.0,0.0,6.428571428571429,0.0,0.0,0.0,19.285714285714285,0.0
Germany,2025-09-04,Nnamdi Collins,RB,0.0,0,0.0,0.0,0.0,45,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Germany,2025-10-10,Nathaniel Brown,"DF,MF",0.0,0,0.0,0.0,0.0,9,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2023-10-17,Kevin Behrens,FW,0.0,0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
Germany,2021-06-19,Marcel Halstenberg,"LB,WB",0.0,0,0.0,0.0,0.0,28,0,0,0,0,1.0,0.0,0.0,0,0,2.0,0.0,0.3111111111111111,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,6.428571428571429,0.0
